year,week,matchup_type,home_team,home_score,away_team,away_score,margin
2022,1,NONE,TuAnon .,123.8,KyleShanahanThe NflTerrorrist,121.4,2.4
2022,1,NONE,Dallas AllWeGotIsMicah,131.02,Free Lamar  Woe,134.86,3.84
2022,1,NONE,The Hennynator's ,116.22,Chiefs Kingdom,131.0,14.78
2022,1,NONE,The Fantasy  Reaper,71.06,WILSONS IN  YOUR MOM,129.08,58.02
2022,1,NONE,Griddy and  Ganja,144.72,K-town Binshine,124.0,20.72
2022,1,NONE,Orlando GOONS,130.38,The Shiva Whisperer,100.32,30.06
2022,2,NONE,KyleShanahanThe NflTerrorrist,123.88,Free Lamar  Woe,145.06,21.18
2022,2,NONE,Chiefs Kingdom,113.7,TuAnon .,96.26,17.44
2022,2,NONE,The Hennynator's ,84.16,Dallas AllWeGotIsMicah,121.92,37.76
2022,2,NONE,WILSONS IN  YOUR MOM,150.18,K-town Binshine,143.06,7.12
2022,2,NONE,The Shiva Whisperer,156.52,The Fantasy  Reaper,118.58,37.94
2022,2,NONE,Orlando GOONS,126.88,Griddy and  Ganja,159.68,32.8
2022,3,NONE,Chiefs Kingdom,117.48,KyleShanahanThe NflTerrorrist,79.16,38.32
2022,3,NONE,Free Lamar  Woe,114.78,The Hennynator's ,123.7,8.92
2022,3,NONE,TuAnon .,75.44,Dallas AllWeGotIsMicah,127.32,51.88
2022,3,NONE,The Shiva Whisperer,131.4,WILSONS IN  YOUR MOM,134.22,2.82
2022,3,NONE,K-town Binshine,103.9,Orlando GOONS,108.4,4.5
2022,3,NONE,The Fantasy  Reaper,101.14,Griddy and  Ganja,119.96,18.82
2022,4,NONE,KyleShanahanThe NflTerrorrist,153.76,The Hennynator's ,88.38,65.38
2022,4,NONE,Dallas AllWeGotIsMicah,117.56,Chiefs Kingdom,111.16,6.4
2022,4,NONE,TuAnon .,92.8,Free Lamar  Woe,134.8,42.0
2022,4,NONE,WILSONS IN  YOUR MOM,104.32,Orlando GOONS,117.32,13.0
2022,4,NONE,Griddy and  Ganja,192.28,The Shiva Whisperer,120.66,71.62
2022,4,NONE,The Fantasy  Reaper,99.9,K-town Binshine,128.24,28.34
2022,5,NONE,Dallas AllWeGotIsMicah,138.46,KyleShanahanThe NflTerrorrist,184.72,46.26
2022,5,NONE,The Hennynator's ,109.44,TuAnon .,96.26,13.18
2022,5,NONE,Chiefs Kingdom,127.58,Free Lamar  Woe,131.62,4.04
2022,5,NONE,Griddy and  Ganja,122.42,WILSONS IN  YOUR MOM,85.14,37.28
2022,5,NONE,Orlando GOONS,170.66,The Fantasy  Reaper,128.86,41.8
2022,5,NONE,The Shiva Whisperer,80.36,K-town Binshine,103.68,23.32
2022,6,NONE,KyleShanahanThe NflTerrorrist,112.08,WILSONS IN  YOUR MOM,112.28,0.2
2022,6,NONE,TuAnon .,104.92,The Fantasy  Reaper,84.16,20.76
2022,6,NONE,Free Lamar  Woe,112.12,K-town Binshine,88.24,23.88
2022,6,NONE,Chiefs Kingdom,93.22,The Shiva Whisperer,86.3,6.92
2022,6,NONE,The Hennynator's ,76.92,Orlando GOONS,118.26,41.34
2022,6,NONE,Dallas AllWeGotIsMicah,133.3,Griddy and  Ganja,121.78,11.52
2022,7,NONE,WILSONS IN  YOUR MOM,80.14,TuAnon .,157.64,77.5
2022,7,NONE,The Fantasy  Reaper,103.88,Free Lamar  Woe,115.92,12.04
2022,7,NONE,K-town Binshine,88.34,Chiefs Kingdom,144.32,55.98
2022,7,NONE,The Shiva Whisperer,102.2,The Hennynator's ,67.9,34.3
2022,7,NONE,Orlando GOONS,138.08,Dallas AllWeGotIsMicah,96.8,41.28
2022,7,NONE,Griddy and  Ganja,135.26,KyleShanahanThe NflTerrorrist,92.7,42.56
2022,8,NONE,Free Lamar  Woe,76.74,WILSONS IN  YOUR MOM,125.94,49.2
2022,8,NONE,Chiefs Kingdom,181.58,The Fantasy  Reaper,171.6,9.98
2022,8,NONE,The Hennynator's ,112.1,K-town Binshine,126.88,14.78
2022,8,NONE,Dallas AllWeGotIsMicah,127.52,The Shiva Whisperer,102.46,25.06
2022,8,NONE,KyleShanahanThe NflTerrorrist,129.48,Orlando GOONS,146.98,17.5
2022,8,NONE,TuAnon .,104.38,Griddy and  Ganja,146.84,42.46
2022,9,NONE,WILSONS IN  YOUR MOM,110.94,Chiefs Kingdom,148.04,37.1
2022,9,NONE,The Fantasy  Reaper,70.98,The Hennynator's ,129.12,58.14
2022,9,NONE,K-town Binshine,124.24,Dallas AllWeGotIsMicah,159.02,34.78
2022,9,NONE,The Shiva Whisperer,86.02,KyleShanahanThe NflTerrorrist,121.2,35.18
2022,9,NONE,Orlando GOONS,104.2,TuAnon .,69.88,34.32
2022,9,NONE,Griddy and  Ganja,149.5,Free Lamar  Woe,107.9,41.6
2022,10,NONE,The Hennynator's ,125.08,WILSONS IN  YOUR MOM,114.44,10.64
2022,10,NONE,Dallas AllWeGotIsMicah,151.0,The Fantasy  Reaper,96.6,54.4
2022,10,NONE,KyleShanahanThe NflTerrorrist,74.6,K-town Binshine,57.68,16.92
2022,10,NONE,TuAnon .,99.3,The Shiva Whisperer,103.6,4.3
2022,10,NONE,Free Lamar  Woe,102.44,Orlando GOONS,107.6,5.16
2022,10,NONE,Chiefs Kingdom,132.54,Griddy and  Ganja,110.98,21.56
2022,11,NONE,WILSONS IN  YOUR MOM,119.78,Dallas AllWeGotIsMicah,153.76,33.98
2022,11,NONE,The Fantasy  Reaper,91.54,KyleShanahanThe NflTerrorrist,116.88,25.34
2022,11,NONE,K-town Binshine,91.4,TuAnon .,96.98,5.58
2022,11,NONE,The Shiva Whisperer,134.0,Free Lamar  Woe,105.72,28.28
2022,11,NONE,Orlando GOONS,100.38,Chiefs Kingdom,165.86,65.48
2022,11,NONE,Griddy and  Ganja,101.6,The Hennynator's ,114.7,13.1
2022,12,NONE,WILSONS IN  YOUR MOM,128.94,KyleShanahanThe NflTerrorrist,123.32,5.62
2022,12,NONE,The Fantasy  Reaper,100.24,TuAnon .,78.76,21.48
2022,12,NONE,K-town Binshine,109.4,Free Lamar  Woe,126.8,17.4
2022,12,NONE,The Shiva Whisperer,133.22,Chiefs Kingdom,112.2,21.02
2022,12,NONE,Orlando GOONS,167.62,The Hennynator's ,116.06,51.56
2022,12,NONE,Griddy and  Ganja,162.98,Dallas AllWeGotIsMicah,95.36,67.62
2022,13,NONE,TuAnon .,124.0,WILSONS IN  YOUR MOM,64.44,59.56
2022,13,NONE,K-town Binshine,157.34,The Fantasy  Reaper,129.9,27.44
2022,13,NONE,Chiefs Kingdom,124.42,Free Lamar  Woe,95.96,28.46
